id,Counties,Density
6a88e3d9-49fd-462f-b6dc-6415058f74e3, Kings ,29.4
b2c9f34d-14f0-470e-988f-ccd65ffff8ec, Kings ,29.4
4ed4db65-071c-427e-b849-f174c926623b, Kings ,29.4
3a1723bc-5329-4c7f-8e4e-cc35354d166e, Kings ,29.4
73346373-c5af-42b3-b809-e02034b067fa, Kings ,29.4
d22ffa67-0b64-49bf-bd67-35301c818695, Kings ,29.4
d21ef1fa-8196-4b96-a2e6-39b25bf00418, Cape Breton ,40.4
2a8ad205-f98f-4462-9aca-79cacf1bf805, Cape Breton ,40.4
ac0415d3-e7cf-4cd2-8d03-acc8e5d35e68, Cape Breton ,40.4
c942a9e7-505f-4ba9-86b4-f9525a4465a7, Cape Breton ,40.4
6366cbb3-f7ed-40f5-b626-b58d3d88b8e5, Cape Breton ,40.4
ecbc7497-b7d1-43d5-8e2b-0d7f46eeb0c8, Cape Breton ,40.4
e6b8e757-de02-43b9-9d52-4b66b4ae79ff, Cape Breton ,40.4
60e73fd0-ad03-499b-8722-1b86aec496c2, Cape Breton ,40.4
1a772772-fccb-4c11-a2cd-f45dd4be5de2, Kings ,29.4
53f9ec09-eb6d-418f-b584-600feea12bb2, Kings ,29.4
804274f0-c311-490b-99f3-5ae61a9f0dc0, Kings ,29.4
0b814262-ba66-49ea-892b-e0dc4e3589eb, Kings ,29.4
52c2ee8e-0dab-48a5-af3e-ac62116fc497, Kings ,29.4
e24e96a7-2a10-49ba-aa98-0a5f4cfb1b46, Kings ,29.4
c5dfb7a0-695f-4878-a14d-6ceebfcbca9b, Kings ,29.4
964fc098-399f-4c17-aa45-60f2efb71bf8, Kings ,29.4
656e9ed7-5762-4f8e-8bf4-e217e8c321fb, Kings ,29.4
a1dd5884-685d-498e-acea-1db5e5a7c191, Cape Breton ,40.4
235f2c01-cfa1-431c-988c-149fbcf93f4a, Kings ,29.4
7e372804-1c42-46c3-92d0-3b32f669289b, Kings ,29.4
4b76975f-ea50-4124-8e8a-ec2f9b493ebd, Kings ,29.4
93b90051-46fb-454b-95de-b0e3c51efe4a, Kings ,29.4
b174255a-9474-45b1-ac69-1cce71f9bd5e, Kings ,29.4
bb2dd834-3de6-41fc-9b13-732c33fa89ca, Kings ,29.4
1bf623d3-bcc5-4612-ad29-9eb5f99de5c4, Kings ,29.4
79f8a721-048f-41a1-a49a-c4fc2946642e, Cape Breton ,40.4
0503e08e-8f2f-403a-8812-643f891f27c1, Cape Breton ,40.4
29fb0862-bdf9-4153-9c9c-a15ecd9ce4ff, Cape Breton ,40.4
83348345-248d-4052-acd6-b4f6c37e3d94, Cape Breton ,40.4
985ae8e1-89fe-4c9e-8678-c543577c36b3, Cape Breton ,40.4
604f56fe-989b-4b80-95f7-09c5f1a9ac94, Cape Breton ,40.4
4741f0e1-5ef1-4b77-98a4-c23e7df723a1, Cape Breton ,40.4
9ff733a4-8098-40bc-a591-a229c6966cd2, Cape Breton ,40.4
fd35c3e2-bc4d-4edd-8e86-9a6806fb4bec, Cape Breton ,40.4
a4d5f9b3-cea4-4a67-b9c3-e22e2fd96efb, Cape Breton ,40.4
46190448-f974-410f-86c6-17577793f537, Cape Breton ,40.4
3d3f3db5-a8a8-4e16-99bc-9af07b4f998e, Cape Breton ,40.4
6b499b21-d018-4b7b-8c4b-ebe3ec5018b4, Cape Breton ,40.4
4b529f21-390f-4909-a2d0-e06f01f90fdc, Cape Breton ,40.4
2a07c194-7581-413c-a754-a18475cdf33b, Cape Breton ,40.4
77495831-b55b-442d-8d0a-2c15c18e0c34, Cape Breton ,40.4
951cbf4b-acf3-450f-9804-13bf465ef069, Cape Breton ,40.4
e0a8d1b2-6483-497d-a125-560b51f649ad, Cape Breton ,40.4
c6149bd4-ed53-4c11-bfd3-418d95fab1de, Cape Breton ,40.4
fca8b207-8fa4-4461-bf68-5bcfa6ceee19, Cape Breton ,40.4
52b86203-d391-41a6-b4d7-db3e06b137bd, Cape Breton ,40.4
14d57da7-9598-442a-a03e-556e94b92517, Cape Breton ,40.4
77e207d8-62b8-46bf-8898-1f10695c3303, Cape Breton ,40.4
49e2430d-6ed5-4b2c-8a6c-a95c6dfe0694, Cape Breton ,40.4
b2e1778d-b8f2-4023-96a7-2328cbca30b6, Cape Breton ,40.4
dcaa92a2-5465-4842-b1d7-7843b3b6927d, Kings ,29.4
e72be2cc-663c-4f80-bfef-57f16cf3f6a8, Kings ,29.4
